"Data","Start time","Giorno della settimana","Mese","Meteo previsto","Meteo effettivo","Transato previsto","Transato pianificato","Transato effettivo","Produttività target","Produttività effettiva","Teste Suggerite","Teste Pianificate","Teste Effettive"
"16/08/2021","23:30","Monday","August","10n","","","","","","","","",""
"16/08/2021","23:00","Monday","August","10n","","","","","","","","",""
"16/08/2021","22:30","Monday","August","10n","","","","","","","","",""
"16/08/2021","22:00","Monday","August","10n","","","","","","","","",""
"16/08/2021","21:30","Monday","August","10n","","","","","","","","",""
"16/08/2021","21:00","Monday","August","10n","","","","","","","","",""
"16/08/2021","20:30","Monday","August","10n","","","","","","","","",""
"16/08/2021","20:00","Monday","August","10n","","","","","","","","",""
"16/08/2021","19:30","Monday","August","10n","","","","","","","","",""
"16/08/2021","19:00","Monday","August","10n","","","","","","","","",""
"16/08/2021","18:30","Monday","August","10n","","","","","","","","",""
"16/08/2021","18:00","Monday","August","10n","","","","","","","","",""
"16/08/2021","17:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","17:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","16:30","Monday","August","04d","","","","","","","","",""
"16/08/2021","16:00","Monday","August","04d","","","","","","","","",""
"16/08/2021","15:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","15:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","14:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","14:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","13:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","13:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","12:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","12:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","11:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","11:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","10:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","10:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","09:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","09:00","Monday","August","10d","","","","","","","","",""
"15/08/2021","23:30","Sunday","August","04n","","","","","","","","",""
"15/08/2021","23:00","Sunday","August","04n","","","","","","","","",""
"15/08/2021","22:30","Sunday","August","04n","","","","","","","","",""
"15/08/2021","22:00","Sunday","August","04n","","","","","","","","",""
"15/08/2021","21:30","Sunday","August","04n","","","","","","","","",""
"15/08/2021","21:00","Sunday","August","04n","","","","","","","","",""
"15/08/2021","20:30","Sunday","August","10n","","","","","","","","",""
"15/08/2021","20:00","Sunday","August","10n","","","","","","","","",""
"15/08/2021","19:30","Sunday","August","10n","","","","57.34","","","","",""
"15/08/2021","19:00","Sunday","August","10n","","","","68.75","","","","",""
"15/08/2021","18:30","Sunday","August","04n","","","","154.75","","","","",""
"15/08/2021","18:00","Sunday","August","04n","","","","245.65","","","","",""
"15/08/2021","17:30","Sunday","August","04d","","","","102.35","","","","",""
"15/08/2021","17:00","Sunday","August","04d","","","","74.2","","","","",""
"15/08/2021","16:30","Sunday","August","10d","","","","59.76","","","","",""
"15/08/2021","16:00","Sunday","August","10d","","","","20.4","","","","",""
"15/08/2021","15:30","Sunday","August","10d","","","","9.6","","","","",""
"15/08/2021","15:00","Sunday","August","10d","","","","28.8","","","","",""
"15/08/2021","14:30","Sunday","August","10d","","","","29.5","","","","",""
"15/08/2021","14:00","Sunday","August","10d","","","","","","","","",""
"15/08/2021","13:30","Sunday","August","10d","","","","29.4","","","","",""
"15/08/2021","13:00","Sunday","August","10d","","","","","","","","",""
"15/08/2021","12:30","Sunday","August","10d","","","","","","","","",""
"15/08/2021","12:00","Sunday","August","10d","","","","8.55","","","","",""
"15/08/2021","11:30","Sunday","August","10d","","","","106.45","","","","",""
"15/08/2021","11:00","Sunday","August","10d","","","","62.22","","","","",""
"15/08/2021","10:30","Sunday","August","10d","","","","91.1","","","","",""
"15/08/2021","10:00","Sunday","August","10d","","","","49.55","","","","",""
"15/08/2021","09:30","Sunday","August","10d","","","","","","","","",""
"15/08/2021","09:00","Sunday","August","10d","","","","","","","","",""
"14/08/2021","23:30","Saturday","August","04n","03n","","","","","","","",""
"14/08/2021","23:00","Saturday","August","04n","03n","","","","","","","",""
"14/08/2021","22:30","Saturday","August","04n","03n","","","","","","","",""
"14/08/2021","22:00","Saturday","August","04n","03n","","","","","","","",""
"14/08/2021","21:30","Saturday","August","04n","03n","","","","","","","",""
"14/08/2021","21:00","Saturday","August","04n","03n","","","","","","","",""
"14/08/2021","20:30","Saturday","August","04n","03n","","","","","","","","1"
"14/08/2021","20:00","Saturday","August","04n","03n","","","11.5","","11","","","1"
"14/08/2021","19:30","Saturday","August","04n","04n","","","96.6","","96","","","1"
"14/08/2021","19:00","Saturday","August","04n","04n","","","94.5","","47","","","2"
"14/08/2021","18:30","Saturday","August","04n","03n","","","121.1","","60","","","2"
"14/08/2021","18:00","Saturday","August","04n","03n","","","264.05","","132","","","2"
"14/08/2021","17:30","Saturday","August","04d","04d","","","110.15","","55","","","2"
"14/08/2021","17:00","Saturday","August","04d","04d","","","116.6","","58","","","2"
"14/08/2021","16:30","Saturday","August","04d","04d","","","52.1","","26","","","2"
"14/08/2021","16:00","Saturday","August","04d","04d","","","","","","","","2"
"14/08/2021","15:30","Saturday","August","10d","10d","","","1.5","","1","","","1"
"14/08/2021","15:00","Saturday","August","10d","10d","","","","","","","","2"
"14/08/2021","14:30","Saturday","August","04d","10d","","","57.2","","28","","","2"
"14/08/2021","14:00","Saturday","August","04d","10d","","","14.5","","7","","","2"
"14/08/2021","13:30","Saturday","August","04d","10d","","","37.8","","18","","","2"
"14/08/2021","13:00","Saturday","August","04d","10d","","","42.16","","21","","","2"
"14/08/2021","12:30","Saturday","August","04d","10d","","","57.5","","28","","","2"
"14/08/2021","12:00","Saturday","August","04d","10d","","","175.1","","87","","","2"
"14/08/2021","11:30","Saturday","August","04d","10d","","","122.68","","61","","","2"
"14/08/2021","11:00","Saturday","August","04d","10d","","","291.52","","97","","","3"
"14/08/2021","10:30","Saturday","August","04d","10d","","","184.75","","61","","","3"
"14/08/2021","10:00","Saturday","August","04d","10d","","","172.45","","57","","","3"
"14/08/2021","09:30","Saturday","August","10d","10d","","","","","","","","1"
"14/08/2021","09:00","Saturday","August","10d","10d","","","","","","","","1"
"14/08/2021","08:30","Saturday","August","","","","","","","","","","1"
"14/08/2021","08:00","Saturday","August","","","","","","","","","","1"
"13/08/2021","23:30","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","23:00","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","22:30","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","22:00","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","21:30","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","21:00","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","20:30","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","20:00","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","19:30","Friday","August","04n","04n","","","54.3","","","","",""
"13/08/2021","19:00","Friday","August","04n","04n","","","228","","","","",""
"13/08/2021","18:30","Friday","August","04n","03n","","","273.85","","","","",""
"13/08/2021","18:00","Friday","August","04n","03n","","","377.25","","","","",""
"13/08/2021","17:30","Friday","August","04d","04d","","","278.9","","","","",""
"13/08/2021","17:00","Friday","August","04d","04d","","","110.45","","","","",""
"13/08/2021","16:30","Friday","August","04d","04d","","","15.5","","","","",""
"13/08/2021","16:00","Friday","August","04d","04d","","","10.15","","","","",""
"13/08/2021","15:30","Friday","August","04d","04d","","","","","","","",""
"13/08/2021","15:00","Friday","August","04d","04d","","","77.27","","","","",""
"13/08/2021","14:30","Friday","August","04d","04d","","","","","","","",""
"13/08/2021","14:00","Friday","August","04d","04d","","","66.2","","","","",""
"13/08/2021","13:30","Friday","August","04d","10d","","","","","","","",""
"13/08/2021","13:00","Friday","August","04d","10d","","","29.7","","","","",""
"13/08/2021","12:30","Friday","August","10d","10d","","","94.31","","","","",""
"13/08/2021","12:00","Friday","August","10d","10d","","","116.8","","","","",""
"13/08/2021","11:30","Friday","August","10d","10d","","","134.4","","","","",""
"13/08/2021","11:00","Friday","August","10d","10d","","","289.3","","","","",""
"13/08/2021","10:30","Friday","August","10d","10d","","","111.1","","","","",""
"13/08/2021","10:00","Friday","August","10d","10d","","","92.91","","","","",""
"13/08/2021","09:30","Friday","August","10d","10d","","","","","","","",""
"13/08/2021","09:00","Friday","August","10d","10d","","","","","","","",""
"12/08/2021","23:30","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","23:00","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","22:30","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","22:00","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","21:30","Thursday","August","04n","10n","","","","","","","",""
"12/08/2021","21:00","Thursday","August","04n","10n","","","","","","","",""
"12/08/2021","20:30","Thursday","August","04n","10n","","","","","","","",""
"12/08/2021","20:00","Thursday","August","04n","10n","","","","","","","",""
"12/08/2021","19:30","Thursday","August","04n","10n","","","25.8","","","","",""
"12/08/2021","19:00","Thursday","August","04n","10n","","","112.43","","","","",""
"12/08/2021","18:30","Thursday","August","04n","10n","","","38.9","","","","",""
"12/08/2021","18:00","Thursday","August","04n","10n","","","152.35","","","","",""
"12/08/2021","17:30","Thursday","August","04d","10d","","","65.75","","","","",""
"12/08/2021","17:00","Thursday","August","04d","10d","","","141.35","","","","",""
"12/08/2021","16:30","Thursday","August","04d","04d","","","79.9","","","","",""
"12/08/2021","16:00","Thursday","August","04d","04d","","","3.5","","","","",""
"12/08/2021","15:30","Thursday","August","04d","04d","","","","","","","",""
"12/08/2021","15:00","Thursday","August","04d","04d","","","53.1","","","","",""
"12/08/2021","14:30","Thursday","August","04d","04d","","","","","","","",""
"12/08/2021","14:00","Thursday","August","04d","04d","","","37.96","","","","",""
"12/08/2021","13:30","Thursday","August","04d","04d","","","","","","","",""
"12/08/2021","13:00","Thursday","August","04d","04d","","","123.7","","","","",""
"12/08/2021","12:30","Thursday","August","04d","04d","","","121.95","","","","",""
