"Data","Start time","Giorno della settimana","Mese","Meteo previsto","Meteo effettivo","Transato previsto","Transato pianificato","Transato effettivo","Produttività target","Produttività effettiva","Teste Suggerite","Teste Pianificate","Teste Effettive"
"16/08/2021","23:30","Monday","August","04n","","","","","","","","",""
"16/08/2021","23:00","Monday","August","04n","","","","","","","","",""
"16/08/2021","22:30","Monday","August","04n","","","","","","","","",""
"16/08/2021","22:00","Monday","August","04n","","","","","","","","",""
"16/08/2021","21:30","Monday","August","10n","","","","","","","","",""
"16/08/2021","21:00","Monday","August","10n","","","","","","","","",""
"16/08/2021","20:30","Monday","August","10n","","","","","","","","",""
"16/08/2021","20:00","Monday","August","10n","","","","","","","","",""
"16/08/2021","19:30","Monday","August","04n","","","","","","","","",""
"16/08/2021","19:00","Monday","August","04n","","","","","","","","",""
"16/08/2021","18:30","Monday","August","04n","","","","","","","","",""
"16/08/2021","18:00","Monday","August","04n","","","","","","","","",""
"16/08/2021","17:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","17:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","16:30","Monday","August","04d","","","","","","","","",""
"16/08/2021","16:00","Monday","August","04d","","","","","","","","",""
"16/08/2021","15:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","15:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","14:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","14:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","13:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","13:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","12:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","12:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","11:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","11:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","10:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","10:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","09:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","09:00","Monday","August","10d","","","","","","","","",""
"15/08/2021","23:30","Sunday","August","04n","","","","","","","","",""
"15/08/2021","23:00","Sunday","August","04n","","","","","","","","",""
"15/08/2021","22:30","Sunday","August","04n","","","","","","","","",""
"15/08/2021","22:00","Sunday","August","04n","","","","","","","","",""
"15/08/2021","21:30","Sunday","August","04n","","","","","","","","",""
"15/08/2021","21:00","Sunday","August","04n","","","","","","","","",""
"15/08/2021","20:30","Sunday","August","10n","","","","","","","","",""
"15/08/2021","20:00","Sunday","August","10n","","","","","","","","",""
"15/08/2021","19:30","Sunday","August","04n","","","","","","","","",""
"15/08/2021","19:00","Sunday","August","04n","","","","","","","","",""
"15/08/2021","18:30","Sunday","August","04n","","","","","","","","",""
"15/08/2021","18:00","Sunday","August","04n","","","","","","","","",""
"15/08/2021","17:30","Sunday","August","04d","","","","","","","","",""
"15/08/2021","17:00","Sunday","August","04d","","","","","","","","",""
"15/08/2021","16:30","Sunday","August","10d","","","","","","","","",""
"15/08/2021","16:00","Sunday","August","10d","","","","","","","","",""
