"Data","Start time","Giorno della settimana","Mese","Meteo previsto","Meteo effettivo","Transato previsto","Transato pianificato","Transato effettivo","Produttività target","Produttività effettiva","Teste Suggerite","Teste Pianificate","Teste Effettive"
"16/08/2021","23:30","Monday","August","10n","","","","","","","","",""
"16/08/2021","23:00","Monday","August","10n","","","","","","","","",""
"16/08/2021","22:30","Monday","August","10n","","","","","","","","",""
"16/08/2021","22:00","Monday","August","10n","","","","","","","","",""
"16/08/2021","21:30","Monday","August","10n","","","","","","","","",""
"16/08/2021","21:00","Monday","August","10n","","","","","","","","",""
"16/08/2021","20:30","Monday","August","04n","","","","","","","","",""
"16/08/2021","20:00","Monday","August","04n","","","","","","","","",""
"16/08/2021","19:30","Monday","August","04n","","","","","","","","",""
"16/08/2021","19:00","Monday","August","04n","","","","","","","","",""
"16/08/2021","18:30","Monday","August","10n","","","","","","","","",""
"16/08/2021","18:00","Monday","August","10n","","","","","","","","",""
"16/08/2021","17:30","Monday","August","04d","","","","","","","","",""
"16/08/2021","17:00","Monday","August","04d","","","","","","","","",""
"16/08/2021","16:30","Monday","August","04d","","","","","","","","",""
"16/08/2021","16:00","Monday","August","04d","","","","","","","","",""
"16/08/2021","15:30","Monday","August","04d","","","","","","","","",""
"16/08/2021","15:00","Monday","August","04d","","","","","","","","",""
"16/08/2021","14:30","Monday","August","04d","","","","","","","","",""
"16/08/2021","14:00","Monday","August","04d","","","","","","","","",""
"16/08/2021","13:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","13:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","12:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","12:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","11:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","11:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","10:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","10:00","Monday","August","10d","","","","","","","","",""
"16/08/2021","09:30","Monday","August","10d","","","","","","","","",""
"16/08/2021","09:00","Monday","August","10d","","","","","","","","",""
"15/08/2021","23:30","Sunday","August","10n","","","","","","","","",""
"15/08/2021","23:00","Sunday","August","10n","","","","","","","","",""
"15/08/2021","22:30","Sunday","August","10n","","","","","","","","",""
"15/08/2021","22:00","Sunday","August","10n","","","","","","","","",""
"15/08/2021","21:30","Sunday","August","10n","","","","","","","","",""
"15/08/2021","21:00","Sunday","August","10n","","","","","","","","",""
"15/08/2021","20:30","Sunday","August","10n","","","","","","","","",""
"15/08/2021","20:00","Sunday","August","10n","","","","","","","","",""
"15/08/2021","19:30","Sunday","August","04n","","","","180.25","","","","",""
"15/08/2021","19:00","Sunday","August","04n","","","","157.4","","","","",""
"15/08/2021","18:30","Sunday","August","04n","","","","104.46","","","","",""
"15/08/2021","18:00","Sunday","August","04n","","","","159","","","","",""
"15/08/2021","17:30","Sunday","August","04d","","","","315.5","","","","",""
"15/08/2021","17:00","Sunday","August","04d","","","","145.7","","","","",""
"15/08/2021","16:30","Sunday","August","04d","","","","41","","","","",""
"15/08/2021","16:00","Sunday","August","04d","","","","51.7","","","","",""
"15/08/2021","15:30","Sunday","August","04d","","","","32.65","","","","",""
"15/08/2021","15:00","Sunday","August","04d","","","","","","","","",""
"15/08/2021","14:30","Sunday","August","03d","","","","","","","","",""
"15/08/2021","14:00","Sunday","August","03d","","","","","","","","",""
"15/08/2021","13:30","Sunday","August","03d","","","","","","","","",""
"15/08/2021","13:00","Sunday","August","03d","","","","","","","","",""
"15/08/2021","12:30","Sunday","August","10d","","","","","","","","",""
"15/08/2021","12:00","Sunday","August","10d","","","","42.85","","","","",""
"15/08/2021","11:30","Sunday","August","10d","","","","69.15","","","","",""
"15/08/2021","11:00","Sunday","August","10d","","","","104.65","","","","",""
"15/08/2021","10:30","Sunday","August","10d","","","","130.85","","","","",""
"15/08/2021","10:00","Sunday","August","10d","","","","127.6","","","","",""
"15/08/2021","09:30","Sunday","August","10d","","","","","","","","",""
"15/08/2021","09:00","Sunday","August","10d","","","","","","","","",""
"14/08/2021","23:30","Saturday","August","04n","10n","","","","","","","",""
"14/08/2021","23:00","Saturday","August","04n","10n","","","","","","","",""
"14/08/2021","22:30","Saturday","August","10n","10n","","","","","","","",""
"14/08/2021","22:00","Saturday","August","10n","10n","","","","","","","",""
"14/08/2021","21:30","Saturday","August","04n","10n","","","","","","","",""
"14/08/2021","21:00","Saturday","August","04n","10n","","","","","","","","3"
"14/08/2021","20:30","Saturday","August","04n","10n","","","","","","","","3"
"14/08/2021","20:00","Saturday","August","04n","10n","","","","","","","","3"
"14/08/2021","19:30","Saturday","August","04n","10n","","","102.1","","34","","","3"
"14/08/2021","19:00","Saturday","August","04n","10n","","","262.75","","87","","","3"
"14/08/2021","18:30","Saturday","August","04n","04n","","","98.8","","32","","","3"
"14/08/2021","18:00","Saturday","August","04n","04n","","","47.75","","15","","","3"
"14/08/2021","17:30","Saturday","August","04d","04d","","","127.85","","42","","","3"
"14/08/2021","17:00","Saturday","August","04d","04d","","","94.15","","47","","","2"
"14/08/2021","16:30","Saturday","August","04d","04d","","","19","","9","","","2"
"14/08/2021","16:00","Saturday","August","04d","04d","","","32.95","","16","","","2"
"14/08/2021","15:30","Saturday","August","04d","04d","","","69.3","","34","","","2"
"14/08/2021","15:00","Saturday","August","04d","04d","","","37.25","","18","","","2"
"14/08/2021","14:30","Saturday","August","04d","04d","","","43.25","","14","","","3"
"14/08/2021","14:00","Saturday","August","04d","04d","","","","","","","","2"
"14/08/2021","13:30","Saturday","August","04d","04d","","","22.8","","11","","","2"
"14/08/2021","13:00","Saturday","August","04d","04d","","","45.55","","22","","","2"
"14/08/2021","12:30","Saturday","August","10d","04d","","","15.96","","5","","","3"
"14/08/2021","12:00","Saturday","August","10d","04d","","","34.55","","11","","","3"
"14/08/2021","11:30","Saturday","August","10d","10d","","","80.2","","26","","","3"
"14/08/2021","11:00","Saturday","August","10d","10d","","","216.4","","72","","","3"
"14/08/2021","10:30","Saturday","August","04d","10d","","","112.95","","37","","","3"
"14/08/2021","10:00","Saturday","August","04d","10d","","","51.45","","17","","","3"
"14/08/2021","09:30","Saturday","August","04d","04d","","","","","","","","2"
"14/08/2021","09:00","Saturday","August","04d","04d","","","","","","","","2"
"14/08/2021","08:30","Saturday","August","","","","","","","","","","1"
"14/08/2021","08:00","Saturday","August","","","","","","","","","","1"
"14/08/2021","07:30","Saturday","August","","","","","","","","","","1"
"13/08/2021","23:30","Friday","August","03n","02n","","","","","","","",""
"13/08/2021","23:00","Friday","August","03n","02n","","","","","","","",""
"13/08/2021","22:30","Friday","August","02n","02n","","","","","","","",""
"13/08/2021","22:00","Friday","August","02n","02n","","","","","","","",""
"13/08/2021","21:30","Friday","August","02n","02n","","","","","","","",""
"13/08/2021","21:00","Friday","August","02n","02n","","","","","","","",""
"13/08/2021","20:30","Friday","August","02n","02n","","","","","","","",""
"13/08/2021","20:00","Friday","August","02n","02n","","","57.05","","","","",""
"13/08/2021","19:30","Friday","August","02n","02n","","","125.75","","","","",""
"13/08/2021","19:00","Friday","August","02n","02n","","","220.82","","","","",""
"13/08/2021","18:30","Friday","August","03n","01n","","","149.45","","","","",""
"13/08/2021","18:00","Friday","August","03n","01n","","","81.6","","","","",""
"13/08/2021","17:30","Friday","August","03d","03d","","","236.85","","","","",""
"13/08/2021","17:00","Friday","August","03d","03d","","","230.2","","","","",""
"13/08/2021","16:30","Friday","August","03d","03d","","","80.2","","","","",""
"13/08/2021","16:00","Friday","August","03d","03d","","","20.9","","","","",""
"13/08/2021","15:30","Friday","August","03d","03d","","","32.4","","","","",""
"13/08/2021","15:00","Friday","August","03d","03d","","","18.9","","","","",""
"13/08/2021","14:30","Friday","August","04d","03d","","","18.9","","","","",""
"13/08/2021","14:00","Friday","August","04d","03d","","","","","","","",""
"13/08/2021","13:30","Friday","August","04d","04d","","","0","","","","",""
"13/08/2021","13:00","Friday","August","04d","04d","","","21.25","","","","",""
"13/08/2021","12:30","Friday","August","04d","03d","","","20","","","","",""
"13/08/2021","12:00","Friday","August","04d","03d","","","182","","","","",""
"13/08/2021","11:30","Friday","August","04d","04d","","","270.8","","","","",""
"13/08/2021","11:00","Friday","August","04d","04d","","","112","","","","",""
"13/08/2021","10:30","Friday","August","10d","04d","","","84.3","","","","",""
"13/08/2021","10:00","Friday","August","10d","04d","","","96.05","","","","",""
"13/08/2021","09:30","Friday","August","04d","04d","","","","","","","",""
"13/08/2021","09:00","Friday","August","04d","04d","","","","","","","",""
"12/08/2021","23:30","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","23:00","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","22:30","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","22:00","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","21:30","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","21:00","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","20:30","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","20:00","Thursday","August","04n","04n","","","13.5","","","","",""
"12/08/2021","19:30","Thursday","August","04n","04n","","","168.7","","","","",""
"12/08/2021","19:00","Thursday","August","04n","04n","","","115.15","","","","",""
"12/08/2021","18:30","Thursday","August","04n","04n","","","211.9","","","","",""
"12/08/2021","18:00","Thursday","August","04n","04n","","","264.25","","","","",""
"12/08/2021","17:30","Thursday","August","04d","04d","","","109.85","","","","",""
"12/08/2021","17:00","Thursday","August","04d","04d","","","95","","","","",""
"12/08/2021","16:30","Thursday","August","04d","04d","","","22.8","","","","",""
"12/08/2021","16:00","Thursday","August","04d","04d","","","29.3","","","","",""
"12/08/2021","15:30","Thursday","August","04d","04d","","","15.65","","","","",""
"12/08/2021","15:00","Thursday","August","04d","04d","","","37.4","","","","",""
"12/08/2021","14:30","Thursday","August","04d","04d","","","4.5","","","","",""
"12/08/2021","14:00","Thursday","August","04d","04d","","","23.9","","","","",""
"12/08/2021","13:30","Thursday","August","10d","04d","","","33.5","","","","",""
"12/08/2021","13:00","Thursday","August","10d","04d","","","24.5","","","","",""
"12/08/2021","12:30","Thursday","August","10d","10d","","","64.7","","","","",""
